sku,name,description,category,moq,retail_price,wholesale_price,stock,images
21018341-1-90-/-190,"Матрак AWA, еднолицев - 90 / 190","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,177.93,133.45,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
21018341-1-90-/-200,"Матрак AWA, еднолицев - 90 / 200","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,186.11,139.58,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
21018341-1-114-/-190,"Матрак AWA, еднолицев - 114 / 190","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,221.39,166.04,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
21018341-1-120-/-190,"Матрак AWA, еднолицев - 120 / 190","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,227.01,170.26,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
21018341-1-140-/-200,"Матрак AWA, еднолицев - 140 / 200","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,254.11,190.58,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
21018341-1-144-/-190,"Матрак AWA, еднолицев - 144 / 190","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,249.00,186.75,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
21018341-1-160-/-200,"Матрак AWA, еднолицев - 160 / 200","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,286.83,215.12,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
21018341-1-164-/-190,"Матрак AWA, еднолицев - 164 / 190","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,284.79,213.59,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
21018341-1-82-/-186,"Матрак AWA, еднолицев - 82 / 186","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,151.34,113.50,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
22011879-1-82-/-190,"Матрак ALOE SPRING, двулицев - 82 / 190","Матракът Aloe Spring от колекцията на TED Bed е матрак, който съчетава в едно - удивителен комфорт и изключителна опора . Благодарение на мемори пяна и екстракти от популярното и много полезно растение &bdquo;Алое Вера&ldquo; , матракът Aloe Spring ще ви изненада с неподправен комфорт по време на сън. Този уникален матрак е изработен от множество индивидуално опаковани многопластови пружинки и има 500 независими опорни точки на квадратен метър, които осигуряват не само по-добра опора , но и правилна ортопедична поддръжка на гръбначния стълб. Висококачественият текстил е обогатен с екстракт от Алое Вера , известен с отличното си успокояващо действие върху кожата. Това невероятно растение освен, че осигурява антибактериална, антимикробна и антисептична защита , има функцията да успокоява кожата благодарение на подмладяващите си свойства. По този начин човек може да се събуди сутрин освежен и много спокоен. Повърхността на матрака Aloe Spring е луксозно прошита с мемори частици и влакна , които дават усещане за въздушна мекота . Разположена непосредствено до тялото термо-чувствителната пяна се адаптира изцяло по силуета на спящия . Насладете се на уникалните ползи на Алое Вера с този специално проектиран матрак от колекцията на TED BED!",Матраци,1,241.33,181.00,100,https://cdncloudcart.com/28510/products/images/1586/matrak-aloe-spring-637096b29cce6_1280x1280.png?1668323015|https://cdncloudcart.com/28510/products/images/1586/matrak-aloe-spring-636fcecf7b8db_1920x1920.jpeg?1668322999|https://cdncloudcart.com/28510/products/images/1586/matrak-aloe-spring-636fceceeddca_1280x1280.png?1668322999|https://cdncloudcart.com/28510/products/images/1586/matrak-aloe-spring-636fcece42c54_800x800.jpeg?1668322999
